Wall Serial Number,Test Serial Number,Specimen Name,Year_Appr,Section Type,t_w(mm),l_w(mm),A(mm?),h_w(mm),End Region,End stirrup,l_end(mm),l_web(mm),c(mm),fcu(MPa),fc∩(MPa),fct(Mpa),ft(Mpa),Web_V_Layers,Web_V1_Type,Web_V1_d(mm),Web_V1_Number,Web_V1_fy(Mpa),Web_V1_fu(Mpa),Web_V1_汍su,Web_V2_Type,Web_V2_d(mm),Web_V2_Number,Web_V2_fy(Mpa),Web_V2_fu(Mpa),Web_V2_汍su,Web_V_s(mm),Web_V_老,Web_H_Layers,Web_H1_Type,Web_H1_d(mm),Web_H1_fy(Mpa),Web_H1_fu(Mpa),Web_H1_汍su,Web_H2_Type,Web_H2_d(mm),Web_H2_fy(Mpa),Web_H2_fu(Mpa),Web_H2_汍su,Web_H_s(mm),Web_H_老,Web_H_老_other,Web_H_老_all,End_V_Layers,End_V1_Type,End_V1_d(mm),End_V1_Number,End_V1_fy(MPa),End_V1_fu(Mpa),End_V1_汍su,End_V2_Type,End_V2_d(mm),End_V2_Number,End_V2_fy(Mpa),End_V2_fu(Mpa),End_V2_汍su,End_V_老,Confine_Type,Conf_C_Type,Conf_C_Lx(mm),Conf_C_Asx(mm?),Conf_C_Ly(mm),Conf_C_Asy(mm?),Conf_C_s(mm),Conf_C_Acor(mm?),Conf_C_fy(Mpa),Conf_C_fu(Mpa),Conf_C_汍su,Conf_C_老v,Conf_C_老v_other,Conf_C_老v_all,Splice_Type,Splice_Base_Height,Splice_Length,h_load,Failure Mode,Specific_Failure,h_displacement,竹_Shear Span Ratio,P_Axial LoadㄗkNㄘ,n_(fc∩)Axial Load Ratio
SDB_R0004,SDBT_0001,PW4,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,508mm,2032mm,13mm,36.82MPa,29.45MPa,2.86MPa,,2,Deformed,6mm,26,521.93MPa,583.30MPa,0,,,,,,,152mm,0.00266,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,21,462.64MPa,754.98MPa,0,,,,,,,0.03436,,,483mm,63mm?,127mm,222mm?,51mm,57460mm?,521.93MPa,583.30MPa,0,0.020117,,0.02012,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.081,1601kN,0.1170
SDB_R0001,SDBT_0001,PW1,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,533mm,1981mm,25mm,45.08MPa,36.07MPa,3.27MPa,3.38MPa,2,Deformed,6mm,26,521.93MPa,583.30MPa,0,,,,,,,152mm,0.00273,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,21,579.16MPa,694.99MPa,0,,,,,,,0.03272,3,Deformed,483mm,63mm?,127mm,222mm?,51mm,57460mm?,521.93MPa,583.30MPa,0,0.020117,,0.02012,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.842,1597kN,0.0953
SDB_R0002,SDBT_0001,PW2,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,508mm,2032mm,13mm,50.36MPa,40.29MPa,3.53MPa,,2,Deformed,6mm,26,521.93MPa,583.30MPa,0,,,,,,,152mm,0.00266,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,21,579.16MPa,694.99MPa,0,,,,,,,0.03436,,Deformed,483mm,63mm?,127mm,222mm?,51mm,57460mm?,521.93MPa,583.30MPa,0,0.020117,,0.02012,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.161,2429kN,0.1298
SDB_R0003,SDBT_0001,PW3,2011,R,152mm,3048mm,464515mm?,3658mm,Yes,Yes,591mm,1867mm,13mm,42.92MPa,34.34MPa,3.17MPa,,2,Deformed,13mm,34,353.70MPa,490.91MPa,0,,,,,,,108mm,0.01514,2,Deformed,6mm,521.93MPa,583.30MPa,0,,,,,,152.4000mm,0.00273,,0.00273,3,Deformed,13mm,14,353.70MPa,537.10MPa,0,,,,,,,0.01970,,Deformed,565mm,63mm?,127mm,190mm?,44mm,67419mm?,521.93MPa,583.30MPa,0,0.019997,,0.02000,Lap Splice,0.00mm,609.60mm,1219.20;2438.40,F-S,,3660mm,2.041,1601kN,0.1004
SDB_R0005,SDBT_0002,W1-SR,2017,R,150mm,1000mm,150000mm?,2200mm,Yes,Yes,200mm,600mm,40mm,38.13MPa,30.50MPa,2.93MPa,,2,Deformed,11mm,6,425.00MPa,615.00MPa,0,,,,,,,150mm,0.00669,2,Deformed,11mm,425.00MPa,615.00MPa,0,,,,,,150.0000mm,0.00891,,0.00790,2,Deformed,11mm,4,425.00MPa,615.00MPa,0,,,,,,,0.01337,,Deformed,154mm,201mm?,104mm,201mm?,75mm,13205mm?,,,,0.052210,,0.05221,No,,,2400,F,,2400mm,2.400,0kN,0.0000
SDB_R0006,SDBT_0002,W2-NR,2017,R,150mm,1000mm,150000mm?,2200mm,Yes,Yes,200mm,600mm,40mm,39.50MPa,31.60MPa,3.00MPa,,2,Deformed,11mm,6,425.00MPa,615.00MPa,0,,,,,,,150mm,0.00669,2,Deformed,11mm,425.00MPa,615.00MPa,0,,,,,,150.0000mm,0.00891,,0.00790,2,Plain,13mm,4,380.00MPa,658.00MPa,0,,,,,,,0.01689,,Deformed,155mm,201mm?,105mm,201mm?,75mm,13536mm?,,,,0.051486,,0.05149,Yes,800.00mm,150.00mm,2400,SS,,2400mm,2.400,0kN,0.0000
SDB_R0007,SDBT_0003,W1,2007,R,100mm,700mm,70000mm?,1600mm,Yes,No,100mm,500mm,10mm,34.25MPa,27.40MPa,2.73MPa,,2,Deformed,8mm,6,441.50MPa,593.70MPa,0,,,,,,,135mm,0.00603,2,Deformed,5mm,607.00MPa,667.00MPa,0,,,,,,90.0000mm,0.00436,,0.00442,2,Deformed,10mm,4,451.10MPa,636.80MPa,0,,,,,,,0.03142,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,2.500,287kN,0.1498
SDB_R0008,SDBT_0003,W2,2007,R,100mm,700mm,70000mm?,1600mm,Yes,No,100mm,500mm,10mm,34.25MPa,27.40MPa,2.73MPa,,2,Deformed,8mm,6,460.60MPa,618.40MPa,0,,,,,,,135mm,0.00603,2,Deformed,5mm,600.30MPa,661.50MPa,0,,,,,,90.0000mm,0.00436,,0.00442,2,Deformed,10mm,4,438.20MPa,719.70MPa,0,,,,,,,0.03142,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,2.500,479kN,0.2497
SDB_R0009,SDBT_0003,W3,2007,R,100mm,700mm,70000mm?,1600mm,Yes,No,100mm,500mm,10mm,34.25MPa,27.40MPa,2.73MPa,,2,Deformed,8mm,6,434.80MPa,584.70MPa,0,,,,,,,135mm,0.00603,2,Deformed,5mm,619.50MPa,664.50MPa,0,,,,,,90.0000mm,0.00436,,0.01010,2,Deformed,10mm,4,518.30MPa,670.36MPa,0,,,,,,,0.03142,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,2.500,672kN,0.3502
SDB_R0010,SDBT_0004,Specimen 1,2012,R,100mm,1000mm,100000mm?,1500mm,Yes,No,100mm,800mm,14mm,19.38MPa,15.50MPa,1.86MPa,,2,Plain,6mm,8,325.00MPa,420.00MPa,,,,,,,,250mm,0.00283,2,Plain,6mm,325.00MPa,420.00MPa,,,,,,,400.0000mm,0.00141,,0.00151,2,Deformed,16mm,4,425.00MPa,520.00MPa,,,,,,,,0.08042,,,,,,,,,,,,,,,No,,,1650,S,DC,1650mm,1.650,0kN,0.0000
SDB_R0011,SDBT_0005,Specimen 1,2011,R,100mm,1000mm,100000mm?,1500mm,Yes,No,100mm,800mm,14mm,19.38MPa,15.50MPa,1.86MPa,,2,Plain,6mm,8,325.00MPa,420.00MPa,,,,,,,,250mm,0.00283,2,Plain,6mm,325.00MPa,420.00MPa,,,,,,,400.0000mm,0.00141,,0.00151,2,Deformed,16mm,5,425.00MPa,520.00MPa,,,,,,,,0.10053,,,,,,,,,,,,,,,No,,,1650,S,DC,1650mm,1.650,0kN,0.0000
SDB_R0018,SDBT_0006,Specimen S8;FRC(PE)-M-1.5,2010,R,102mm,1016mm,103226mm?,1321mm,Yes,No,254mm,508mm,59mm,54.30MPa,43.44MPa,3.71MPa,,1,Plain,6mm,3,,,,,,,,,,254mm,0.00184,1,Plain,6mm,,,,,,,,,254.0000mm,0.00123,,0.00118,1,Deformed,22mm,3,498.49MPa,677.75MPa,,,,,,,,0.04510,,,,,,,,,,,,,,,No,,,1524.000000,S,DC,1524mm,1.500,0kN,0.0000
SDB_R0019,SDBT_0006,Specimen S9;RC-H-1.5,2010,R,102mm,1016mm,103226mm?,1321mm,Yes,Yes,152mm,711mm,35mm,53.43MPa,42.75MPa,3.67MPa,,2,Deformed,6mm,22,621.91MPa,656.38MPa,,,,,,,,76mm,0.00786,2,Deformed,6mm,621.91MPa,656.38MPa,,,,,,,76.2000mm,0.00667,,0.00654,2,Deformed,22mm,2,463.33MPa,696.37MPa,,Deformed,19mm,2,477.81MPa,730.84MPa,,0.08692,,Plain,75mm,27mm?,77mm,27mm?,25mm,5159mm?,,,,0.030827,,0.03083,No,,,1524.000000,S,DC,1524mm,1.500,0kN,0.0000
SDB_R0020,SDBT_0006,Specimen S10;FRC(HS)-H-1.5,2010,R,102mm,1016mm,103226mm?,1321mm,Yes,Yes,152mm,711mm,37mm,47.40MPa,37.92MPa,3.39MPa,,2,Deformed,6mm,16,621.91MPa,656.38MPa,,,,,,,,102mm,0.00571,2,Deformed,6mm,621.91MPa,656.38MPa,,,,,,,101.6000mm,0.00500,,0.00500,2,Deformed,19mm,4,477.81MPa,730.84MPa,,,,,,,,0.07363,,Plain,78mm,27mm?,78mm,27mm?,102mm,5471mm?,,,,0.007472,,0.00690,No,,,1524.000000,SS,,1524mm,1.500,0kN,0.0000
SDB_R0015,SDBT_0006,Specimen S5;FRC(HS)-H-1.2,2010,R,102mm,1016mm,103226mm?,1016mm,Yes,Yes,152mm,711mm,39mm,49.13MPa,39.30MPa,3.47MPa,,2,Deformed,6mm,16,632.94MPa,652.24MPa,,,,,,,,102mm,0.00714,2,Deformed,6mm,632.94MPa,652.24MPa,,,,,,,101.6000mm,0.00625,,0.06250,2,Deformed,16mm,4,444.02MPa,670.17MPa,,,,,,,,0.05113,,Plain,75mm,27mm?,75mm,27mm?,102mm,5011mm?,,,,0.007833,,0.00705,No,,,1219.200000,SS,,1219mm,1.200,0kN,0.0000
SDB_R0016,SDBT_0006,Specimen S6;RC-M-1.5,2010,R,102mm,1016mm,103226mm?,1321mm,Yes,Yes,102mm,813mm,12mm,58.61MPa,46.88MPa,3.90MPa,,2,Plain,6mm,20,670.86MPa,678.44MPa,,,,,,,,89mm,0.00767,2,Plain,6mm,670.86MPa,678.44MPa,,,,,,,88.9000mm,0.00701,,0.00661,2,Deformed,19mm,2,491.60MPa,744.63MPa,,Deformed,16mm,2,481.25MPa,710.16MPa,,0.09357,,Plain,72mm,27mm?,74mm,27mm?,25mm,4768mm?,,,,0.032136,,0.03214,No,,,1524.000000,SS,,1524mm,1.500,0kN,0.0000
SDB_R0017,SDBT_0006,Specimen S7;FRC(RS)-M-1.5,2010,R,102mm,1016mm,103226mm?,1321mm,Yes,No,254mm,508mm,59mm,58.61MPa,46.88MPa,3.90MPa,,1,Plain,6mm,3,,,,,,,,,,255mm,0.00184,1,Plain,6mm,,,,,,,,,255.0000mm,0.00122,,0.00118,1,Deformed,22mm,3,498.49MPa,677.75MPa,,,,,,,,0.04510,,,,,,,,,,,,,,,No,,,1524.000000,S,DT,1524mm,1.500,0kN,0.0000
SDB_R0013,SDBT_0006,Specimen S2;FRC(RS)-M-1.2,2010,R,102mm,1016mm,103226mm?,1016mm,Yes,No,102mm,813mm,13mm,60.33MPa,48.26MPa,3.98MPa,,4,Plain,6mm,8,660.52MPa,687.41MPa,,,,,,,,203mm,0.00307,2,Plain,6mm,660.52MPa,687.41MPa,,,,,,,203.2000mm,0.00307,,0.00245,2,Deformed,13mm,4,512.28MPa,744.63MPa,,,,,,,,0.04909,,,,,,,,,,,,,,,No,,,1219.200000,SS,,1219mm,1.200,0kN,0.0000
SDB_R0014,SDBT_0006,Specimen S4;RC-H-1.2,2010,R,102mm,1016mm,103226mm?,1016mm,Yes,Yes,152mm,711mm,37mm,57.74MPa,46.19MPa,3.86MPa,,2,Deformed,6mm,18,632.94MPa,652.24MPa,,,,,,,,76mm,0.00804,2,Deformed,6mm,632.94MPa,652.24MPa,,,,,,,76.2000mm,0.00833,,0.00812,2,Deformed,19mm,2,453.68MPa,751.53MPa,,Deformed,16mm,2,444.02MPa,670.17MPa,,0.06238,,Plain,72mm,27mm?,74mm,27mm?,25mm,4768mm?,,,,0.032168,,0.03217,No,,,1219.200000,SS,,1219mm,1.200,0kN,0.0000
SDB_R0012,SDBT_0006,Specimen S1;RC-M-1.2,2010,R,102mm,1016mm,103226mm?,1016mm,Yes,Yes,102mm,813mm,13mm,57.74MPa,46.19MPa,3.86MPa,,2,Plain,6mm,20,660.52MPa,687.41MPa,,,,,,,,89mm,0.00767,2,Plain,6mm,660.52MPa,687.41MPa,,,,,,,88.9000mm,0.00701,,0.00675,2,Deformed,13mm,4,512.28MPa,744.63MPa,,,,,,,,0.04909,,Plain,72mm,27mm?,72mm,27mm?,25mm,4572mm?,0.00MPa,0.00MPa,0,0.032856,,0.03368,No,,,1219.2,SS,,1219mm,1.200,0kN,0.0000
SDB_R0028,SDBT_0007,SF0.33D,2015,R,200mm,1500mm,300000mm?,500mm,No,No,,1500mm,29mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,175mm,0.00507,2,Deformed,10mm,625.00MPa,,,,,,,,100.0000mm,0.00713,,0.00713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,750,SS,,750mm,0.500,0kN,0.0000
SDB_R0029,SDBT_0007,SF0.33D-L,2015,R,200mm,1500mm,300000mm?,500mm,No,No,,1500mm,29mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,280mm,0.00507,2,Deformed,10mm,625.00MPa,,,,,,,,167.0000mm,0.00427,,0.00428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,750,SS,,750mm,0.500,0kN,0.0000
SDB_R0025,SDBT_0007,HF0.5,2015,R,200mm,1500mm,300000mm?,750mm,No,No,,1500mm,26mm,48.38MPa,38.70MPa,3.43MPa,,2,Deformed,13mm,16,667.00MPa,,,,,,,,,200mm,0.00676,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1000,S,DT,1000mm,0.667,735kN,0.0633
SDB_R0026,SDBT_0007,SF0.33,2015,R,200mm,1500mm,300000mm?,500mm,No,No,,1500mm,29mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,18,667.00MPa,,,,,,,,,175mm,0.00760,2,Deformed,10mm,625.00MPa,,,,,,,,100.0000mm,0.00713,,0.00856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,750,SS,,750mm,0.500,0kN,0.0000
SDB_R0027,SDBT_0007,SF0.33-L,2015,R,200mm,1500mm,300000mm?,500mm,No,No,,1500mm,29mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,280mm,0.00507,2,Deformed,10mm,625.00MPa,,,,,,,,167.0000mm,0.00427,,0.00428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,750,SS,,750mm,0.500,0kN,0.0000
SDB_R0021,SDBT_0007,SF0.5,2015,R,200mm,1500mm,300000mm?,750mm,Yes,No,195mm,1110mm,26mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,200mm,0.00685,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,6,Deformed,6mm,13,667.00MPa,,,,,,,,,0.00942,,,,,,,,,,,,,,,No,,,1000,SS,,1000mm,0.667,0kN,0.0000
SDB_R0022,SDBT_0007,SF0.5-L,2015,R,200mm,1500mm,300000mm?,750mm,Yes,No,145mm,1210mm,29mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,8,667.00MPa,,,Deformed,10mm,4,625.00MPa,,,333mm,0.00537,2,Deformed,10mm,625.00MPa,,,,,,,,187.0000mm,0.00381,,0.00380,2,Deformed,13mm,4,667.00MPa,,,,,,,,,0.01747,,,,,,,,,,,,,,,No,,,1000,SS,,1000mm,0.667,0kN,0.0000
SDB_R0023,SDBT_0007,SF0.5-LL,2015,R,200mm,1500mm,300000mm?,750mm,Yes,No,145mm,1210mm,29mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,4,667.00MPa,,,,,,,,,55mm,0.00209,2,Deformed,10mm,625.00MPa,,,,,,,,375.0000mm,0.00190,,0.00190,2,Deformed,13mm,4,667.00MPa,,,,,,,,,0.01747,,,,,,,,,,,,,,,No,,,1000,SS,,1000mm,0.667,0kN,0.0000
SDB_R0024,SDBT_0007,SF0.5-C,2015,R,200mm,1500mm,300000mm?,750mm,No,No,,1500mm,26mm,52.63MPa,42.10MPa,3.63MPa,,2,Deformed,13mm,16,667.00MPa,,,,,,,,,200mm,0.00676,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1000,SS,,1000mm,0.667,882kN,0.0698
SDB_R0030,SDBT_0008,NS2,2014,R,200mm,1500mm,300000mm?,3000mm,Yes,No,300mm,900mm,17mm,45.63MPa,36.50MPa,3.30MPa,,2,Deformed,16mm,5,470.00MPa,,,,,,,,,,0.00552,2,Deformed,16mm,470.00MPa,,,,,,,,215.0000mm,0.00923,,0.00927,3,Deformed,35mm,8,617.00MPa,,,,,,,,,0.12755,,,,,,,,,,,,,,,No,,,3250,S,DT+DC,3250mm,2.167,756kN,0.0690
SDB_R0031,SDBT_0008,HS2,2014,R,200mm,1500mm,300000mm?,3000mm,Yes,No,300mm,900mm,20mm,45.63MPa,36.50MPa,3.30MPa,,2,Deformed,13mm,8,667.00MPa,,,,,,,,,,0.00563,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,3,Deformed,35mm,8,617.00MPa,,,,,,,,,0.12755,,,,,,,,,,,,,,,No,,,3250,S,DT+DC,3250mm,2.167,756kN,0.0690
SDB_R0032,SDBT_0008,NS2L,2014,R,200mm,1500mm,300000mm?,3000mm,Yes,No,300mm,900mm,17mm,45.63MPa,36.50MPa,3.30MPa,,6,Deformed,16mm,6,470.00MPa,,,,,,,,,,0.00662,2,Deformed,16mm,470.00MPa,,,,,,,,430.0000mm,0.00462,,0.00463,2,Deformed,35mm,6,617.00MPa,,,,,,,,,0.09566,,,,,,,,,,,,,,,No,,,3250,S,DT,3250mm,2.167,756kN,0.0690
SDB_R0033,SDBT_0008,HS2L,2014,R,200mm,1500mm,300000mm?,3000mm,Yes,No,300mm,900mm,20mm,45.63MPa,36.50MPa,3.30MPa,,2,Deformed,13mm,6,667.00MPa,,,,,,,,,,0.00422,2,Deformed,13mm,667.00MPa,,,,,,,,375.0000mm,0.00338,,0.00338,2,Deformed,35mm,6,617.00MPa,,,,,,,,,0.09566,,,,,,,,,,,,,,,No,,,3250,S,DT,3250mm,2.167,756kN,0.0690
SDB_R0034,SDBT_0009,NF2,2015,R,200mm,1500mm,300000mm?,3000mm,Yes,No,200mm,1100mm,20mm,47.63MPa,38.10MPa,3.40MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,,0.00691,2,Deformed,13mm,667.00MPa,,,,,,,,215.0000mm,0.00589,,0.00591,2,Deformed,35mm,4,617.00MPa,,,Deformed,16mm,2,653.00MPa,,,0.10559,,,,,,,,,,,,,,,No,,,3250,F,FC,3250mm,2.167,800kN,0.0700
SDB_R0035,SDBT_0009,HF2,2015,R,200mm,1500mm,300000mm?,3000mm,Yes,No,200mm,1100mm,20mm,45.88MPa,36.70MPa,3.31MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,,0.00691,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,2,Deformed,35mm,4,617.00MPa,,,Deformed,16mm,2,653.00MPa,,,0.10559,,,,,,,,,,,,,,,No,,,3250,F,FC,3250mm,2.167,771kN,0.0700
SDB_R0036,SDBT_0009,HF2 500,2015,R,200mm,1500mm,300000mm?,3000mm,Yes,No,200mm,1100mm,20mm,47.75MPa,38.20MPa,3.40MPa,,2,Deformed,13mm,14,563.00MPa,,,,,,,,,,0.00806,2,Deformed,13mm,563.00MPa,,,,,,,,160.0000mm,0.00792,,0.00802,2,Deformed,35mm,4,617.00MPa,,,Deformed,16mm,2,653.00MPa,,,0.10559,,,,,,,,,,,,,,,No,,,3250,F,FC,3250mm,2.167,802kN,0.0700
SDB_R0037,SDBT_0009,HF2 600,2015,R,200mm,1500mm,300000mm?,3000mm,Yes,No,200mm,1100mm,17mm,32.63MPa,26.10MPa,2.64MPa,,2,Deformed,16mm,4,642.00MPa,,,Deformed,10mm,8,625.00MPa,,,,0.00620,,Deformed,16mm,642.00MPa,,,Deformed,10mm,625.00MPa,,,160.0000mm,,0.028864928,0.02879,2,Deformed,35mm,4,617.00MPa,,,Deformed,16mm,2,653.00MPa,,,0.10559,,,,,,,,,,,,,,,No,,,3250,F,FC,3250mm,2.167,548kN,0.0700
SDB_R0038,SDBT_0010,NS1M,2017,R,200mm,1500mm,300000mm?,1500mm,Yes,No,300mm,900mm,17mm,66.13MPa,52.90MPa,4.23MPa,,2,Deformed,16mm,10,470.00MPa,,,,,,,,,,0.01103,2,Deformed,16mm,470.00MPa,,,,,,,,215.0000mm,0.00923,,0.00927,2,Deformed,35mm,6,617.00MPa,,,,,,,,,0.09566,,,,,,,,,,,,,,,No,,,1750,S,DT,1750mm,1.167,111kN,0.0070
SDB_R0039,SDBT_0010,HS1M,2017,R,200mm,1500mm,300000mm?,1500mm,Yes,No,300mm,900mm,20mm,66.13MPa,52.90MPa,4.23MPa,,2,Deformed,13mm,10,667.00MPa,,,,,,,,,,0.00704,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,6,Deformed,35mm,6,617.00MPa,,,,,,,,,0.09566,,,,,,,,,,,,,,,No,,,1750,S,DT,1750mm,1.167,111kN,0.0070
SDB_R0040,SDBT_0010,NF1M,2017,R,200mm,1500mm,300000mm?,1500mm,Yes,No,200mm,1100mm,16mm,63.63MPa,50.90MPa,4.12MPa,,2,Deformed,16mm,12,470.00MPa,,,,,,,,,,0.01083,2,Deformed,16mm,470.00MPa,,,,,,,,215.0000mm,0.00923,,0.00927,3,Deformed,16mm,8,653.00MPa,,,,,,,,,0.03971,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,1.167,107kN,0.0070
SDB_R0041,SDBT_0010,HF1M,2017,R,200mm,1500mm,300000mm?,1500mm,Yes,No,200mm,1100mm,19mm,63.63MPa,50.90MPa,4.12MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,,0.00691,2,Deformed,13mm,470.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,3,Deformed,16mm,8,653.00MPa,,,,,,,,,0.03971,,,,,,,,,,,,,,,No,,,1750,F,FC,1750mm,1.167,107kN,0.0070
SDB_R0042,SDBT_0010,HF1M-B,2017,R,200mm,1500mm,300000mm?,1500mm,Yes,Yes,200mm,1100mm,19mm,63.63MPa,50.90MPa,4.12MPa,,2,Deformed,13mm,12,653.00MPa,,,,,,,,,,0.00691,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,2,Deformed,16mm,8,653.00MPa,,,,,,,,,0.03971,,Deformed,161mm,253mm?,161mm,253mm?,94mm,22082mm?,667.00MPa,,,0.039374,,0.03948,No,,,1750,F,FC,1750mm,1.167,107kN,0.0070
SDB_R0043,SDBT_0010,NF1T-B,2017,R,200mm,1500mm,300000mm?,1500mm,Yes,Yes,200mm,1100mm,16mm,66.13MPa,52.90MPa,4.23MPa,,2,Deformed,16mm,6,470.00MPa,,,,,,,,,,0.00542,2,Deformed,16mm,470.00MPa,,,,,,,,250.0000mm,0.00794,,0.00794,5,Deformed,16mm,6,470.00MPa,,,,,,,,,0.02978,,Deformed,168mm,397mm?,168mm,397mm?,75mm,23043mm?,470.00MPa,,,0.077065,,0.07707,No,,,1750,F,FT,1750mm,1.167,111kN,0.0070
SDB_R0044,SDBT_0010,HF1T-B,2017,R,200mm,1500mm,300000mm?,1500mm,Yes,Yes,200mm,1100mm,19mm,58.13MPa,46.50MPa,3.88MPa,,2,Deformed,16mm,4,653.00MPa,,,,,,,,,,0.00361,1,Deformed,13mm,667.00MPa,,,,,,,,500.0000mm,0.00127,,0.00169,2,Deformed,16mm,4,653.00MPa,,,,,,,,,0.01986,,Deformed,161mm,253mm?,161mm,253mm?,55mm,22082mm?,667.00MPa,,,0.067294,,0.06909,No,,,1750,F,FT,1750mm,1.167,98kN,0.0070
SDB_R0045,SDBT_0010,NS0.5M,2017,R,200mm,1500mm,300000mm?,750mm,Yes,No,100mm,1300mm,17mm,55.75MPa,44.60MPa,3.77MPa,,2,Deformed,16mm,12,470.00MPa,,,,,,,,,,0.00916,2,Deformed,16mm,470.00MPa,,,,,,,,215.0000mm,0.00923,,0.01059,2,Deformed,35mm,2,617.00MPa,,,,,,,,,0.09566,,,,,,,,,,,,,,,No,,,1000,S,DT,1000mm,0.667,94kN,0.0070
SDB_R0046,SDBT_0010,HS0.5M,2017,R,200mm,1500mm,300000mm?,750mm,Yes,No,100mm,1300mm,20mm,46.75MPa,37.40MPa,3.36MPa,,2,Deformed,13mm,12,667.00MPa,,,,,,,,,,0.00585,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,2,Deformed,35mm,2,617.00MPa,,,,,,,,,0.09566,,,,,,,,,,,,,,,No,,,1000,S,DT,1000mm,0.667,79kN,0.0070
SDB_R0047,SDBT_0010,NF0.5M,2017,R,200mm,1500mm,300000mm?,750mm,No,No,,1500mm,16mm,48.38MPa,38.70MPa,3.43MPa,,2,Deformed,16mm,16,470.00MPa,,,,,,,,,,0.01059,2,Deformed,16mm,470.00MPa,,,,,,,,215.0000mm,0.00923,,0.01059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1000,F,FC,1000mm,0.667,81kN,0.0070
SDB_R0048,SDBT_0010,HF0.5M,2017,R,200mm,1500mm,300000mm?,750mm,No,No,,1500mm,21mm,48.38MPa,38.70MPa,3.43MPa,,2,Deformed,13mm,16,667.00MPa,,,,,,,,,,0.00676,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1000,F,FC,1000mm,0.667,81kN,0.0070
SDB_R0049,SDBT_0010,HF0.5M-B,2017,R,200mm,1500mm,300000mm?,750mm,Yes,Yes,290mm,980mm,21mm,46.75MPa,37.40MPa,3.36MPa,,2,Deformed,13mm,8,667.00MPa,,,,,,,,,,0.00517,2,Deformed,13mm,667.00MPa,,,,,,,,187.0000mm,0.00677,,0.00676,2,Deformed,13mm,4,667.00MPa,,,,,,,,,0.00874,,Deformed,248mm,253mm?,158mm,253mm?,94mm,34227mm?,,,,0.031986,,0.03207,No,,,1000,F,FC,1000mm,0.667,79kN,0.0070
