Wall Serial Number,Test Serial Number,Specimen Name,Year_Appr,Section Type,t_w(mm),l_w(mm),A(mm?),h_w(mm),End Region,End stirrup,l_end(mm),l_web(mm),c(mm),fcu(MPa),fc∩(MPa),fct(Mpa),ft(Mpa),Web_V_Layers,Web_V1_Type,Web_V1_d(mm),Web_V1_Number,Web_V1_fy(Mpa),Web_V1_fu(Mpa),Web_V1_汍su,Web_V2_Type,Web_V2_d(mm),Web_V2_Number,Web_V2_fy(Mpa),Web_V2_fu(Mpa),Web_V2_汍su,Web_V_s(mm),Web_V_老,Web_H_Layers,Web_H1_Type,Web_H1_d(mm),Web_H1_fy(Mpa),Web_H1_fu(Mpa),Web_H1_汍su,Web_H2_Type,Web_H2_d(mm),Web_H2_fy(Mpa),Web_H2_fu(Mpa),Web_H2_汍su,Web_H_s(mm),Web_H_老,Web_H_老_other,Web_H_老_all,End_V_Layers,End_V1_Type,End_V1_d(mm),End_V1_Number,End_V1_fy(MPa),End_V1_fu(Mpa),End_V1_汍su,End_V2_Type,End_V2_d(mm),End_V2_Number,End_V2_fy(Mpa),End_V2_fu(Mpa),End_V2_汍su,End_V_老,Confine_Type,Conf_C_Type,Conf_C_Lx(mm),Conf_C_Asx(mm?),Conf_C_Ly(mm),Conf_C_Asy(mm?),Conf_C_s(mm),Conf_C_Acor(mm?),Conf_C_fy(Mpa),Conf_C_fu(Mpa),Conf_C_汍su,Conf_C_老v,Conf_C_老v_other,Conf_C_老v_all,Splice_Type,Splice_Base_Height,Splice_Length,h_load,Failure Mode,Specific_Failure,h_displacement,竹_Shear Span Ratio,P_Axial LoadㄗkNㄘ,n_(fc∩)Axial Load Ratio
SDB_R0075,SDBT_0015,SW-4,2017,R,200mm,1300mm,260000mm?,3100mm,Yes,Yes,300mm,700mm,20mm,28.00MPa,22.40MPa,2.38MPa,,2,Deformed,10mm,6,485.00MPa,636.00MPa,0,,,,,,,,0.00337,2,Deformed,10mm,485.00MPa,636.00MPa,0,,,,,,200.0000mm,0.00393,,0.00405,2,Deformed,10mm,6,485.00MPa,636.00MPa,0,,,,,,,0.00785,,Deformed,250mm,157mm?,150mm,236mm?,100mm,33600mm?,485.00MPa,636.00MPa,0,0.022206,0.0148036954365079365079365079,,No,,,3200,F,FC/FT,3300mm,2.462,1456kN,0.2500
SDB_R0076,SDBT_0016,W1,2017,R,100mm,740mm,74000mm?,1400mm,Yes,Yes,140mm,460mm,5mm,42.18MPa,33.74MPa,3.13MPa,,2,Deformed,8mm,8,622.00MPa,733.00MPa,,,,,,,,100mm,0.00874,2,Deformed,8mm,622.00MPa,733.00MPa,,,,,,,140.0000mm,0.00718,,0.00718,2,Deformed,10mm,4,620.00MPa,697.00MPa,,,,,,,,0.02244,,Deformed,130mm,157mm?,90mm,157mm?,40mm,9600mm?,697.00MPa,620.00MPa,,0.089991,,0.08999,No,,,1500,F,FC,1500mm,2.027,0kN,0.0000
SDB_R0077,SDBT_0016,W5,2010,R,100mm,740mm,74000mm?,1400mm,Yes,Yes,215mm,350mm,6mm,41.94MPa,33.55MPa,3.12MPa,,2,Deformed,12mm,2,586.00MPa,699.00MPa,,,,,,,,,0.00646,2,Deformed,6mm,,,,,,,,,300.0000mm,0.00188,,0.00162,2,Deformed,12mm,4,586.00MPa,699.00MPa,,,,,,,,0.02104,,Deformed,203mm,101mm?,88mm,50mm?,300mm,15600mm?,505.00MPa,568.00MPa,,0.005306,,0.00568,No,,,1500,S,DT,1500mm,2.027,0kN,0.0000
SDB_R0078,SDBT_0016,W6,2010,R,100mm,740mm,74000mm?,1400mm,Yes,Yes,215mm,310mm,6mm,32.94MPa,26.35MPa,2.66MPa,,2,Deformed,12mm,2,575.00MPa,694.00MPa,,,,,,,,,0.00730,2,Deformed,6mm,,,,,,,,,300.0000mm,0.00188,,0.00162,2,Deformed,12mm,4,575.00MPa,694.00MPa,,,,,,,,0.02104,,Deformed,203mm,101mm?,88mm,50mm?,300mm,15600mm?,516.00MPa,569.00MPa,,0.005306,,0.00568,No,,,1500,S,DT,1500mm,2.027,136kN,0.0700
SDB_R0079,SDBT_0016,W7,2010,R,125mm,750mm,93750mm?,1400mm,Yes,Yes,215mm,320mm,15mm,31.12MPa,31.12MPa,2.97MPa,,2,Deformed,8mm,8,588.00MPa,681.00MPa,0,,,,,,,75mm,0.01005,2,Deformed,8mm,588.00MPa,681.00MPa,0,,,,,,120.0000mm,0.00670,,0.00632,2,Deformed,10mm,6,604.00MPa,705.00MPa,0,,,,,,,0.01753,,Deformed,186mm,101mm?,96mm,101mm?,50mm,15664mm?,,,,0.036196,,0.03749,No,,,1500,F,FC,1500mm,2.000,0kN,0.0000
SDB_R0080,SDBT_0016,W9,2010,R,125mm,750mm,93750mm?,1400mm,Yes,Yes,231mm,288mm,15mm,31.12MPa,31.12MPa,2.97MPa,,2,Deformed,12mm,2,580.00MPa,670.00MPa,0,,,,,,,,0.00628,2,Deformed,8mm,588.00MPa,681.00MPa,,,,,,,400.0000mm,0.00201,,0.00172,2,Deformed,12mm,4,580.00MPa,670.00MPa,0,,,,,,,0.01567,,Deformed,201mm,101mm?,95mm,101mm?,100mm,16791mm?,588.00MPa,681.00MPa,0,0.017722,,0.01772,No,,,1500,F,FC,1500mm,2.000,0kN,0.0000
SDB_R0081,SDBT_0016,W11,2010,R,125mm,750mm,93750mm?,1400mm,Yes,Yes,231mm,288mm,15mm,31.12MPa,31.12MPa,2.97MPa,,2,Deformed,12mm,2,580.00MPa,670.00MPa,0,,,,,,,,0.00628,2,Deformed,6mm,588.00MPa,681.00MPa,0,,,,,,400.0000mm,0.00113,,0.00097,2,Deformed,12mm,4,580.00MPa,670.00MPa,0,,,,,,,0.01567,,Deformed,201mm,101mm?,95mm,101mm?,100mm,16791mm?,,,,0.017722,,0.01772,No,,,1500,S,DT,1500mm,2.000,0kN,0.0000
SDB_R0082,SDBT_0016,W13,2010,R,125mm,750mm,93750mm?,1400mm,No,No,,750mm,15mm,31.71MPa,25.37MPa,2.59MPa,,2,Deformed,12mm,10,580.00MPa,670.00MPa,0,,,,,,,173mm,0.01206,2,Deformed,8mm,568.00MPa,654.00MPa,,,,,,,400.0000mm,0.00201,,0.00129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1500,S,DC,1500mm,2.000,0kN,0.0000
SDB_R0083,SDBT_0017,SW0,2013,R,180mm,1440mm,259200mm?,2020mm,Yes,Yes,217mm,1006mm,13mm,32.27MPa,25.82MPa,2.62MPa,,2,Deformed,8mm,10,417.00MPa,473.00MPa,,,,,,,,180mm,0.00278,2,Deformed,8mm,417.00MPa,473.00MPa,,,,,,,200.0000mm,0.00279,,0.00284,3,Deformed,25mm,5,484.00MPa,623.00MPa,,,,,,,,0.06283,,,150mm,101mm?,146mm,101mm?,100mm,19596mm?,,,,0.015185,,0.01547,No,,,2160,S,DT,2160mm,1.500,950kN,0.1420
SDB_R0084,SDBT_0018,W0,2013,R,170mm,1500mm,255000mm?,1350mm,Yes,Yes,219mm,1062mm,15mm,37.30MPa,29.84MPa,2.89MPa,,2,Deformed,8mm,12,309.00MPa,443.00MPa,,,,,,,,,0.00334,2,Deformed,8mm,309.00MPa,443.00MPa,,,,,,,200.0000mm,0.00296,,0.00307,2,Deformed,25mm,6,474.00MPa,671.00MPa,,,,,,,,0.07911,,Deformed,181mm,101mm?,124mm,101mm?,100mm,20068mm?,309.00MPa,443.00MPa,,0.015279,,0.01584,No,,,1500,S,WC,1500mm,1.000,1427kN,0.1875
